station_id,altitude,rvalue_1
"3098","387",388
"4127","347",346.5
"5619","360",359.899993896484
"6313","440",437.200012207031
"13713","386",389.800018310547
"613","206",205.699996948242
"644","150",150.199996948242
"5347","236",236.100006103516
"934","88",87.3000030517578
"3028","157",155.900009155273
"4313","370",369.700012207031
"4368","93",92.2000045776367
"5699","312",311.700012207031
"13700","205",206.900009155273
"216","298",298.100006103516
"1300","351",360.300018310547
"2483","839",839.5
"2947","286",287
"3215","375",376.800018310547
"4400","171",170.5
"4488","443",436.800018310547
"5360","331",337.600006103516
"6264","457",457.300018310547
"7330","159",158.400009155273
"3499","292",293.700012207031
"5468","418",416.800018310547
"389","436",433.5
"390","610",612.200012207031
"796","412",413.399993896484
"4692","229",229.400009155273
"3031","92",93.4000015258789
"5480","85",84.5999984741211
"6276","235",234.5
